x,Curve1
-0.29401,0.31534
-0.28845,0.28522
-0.2774,0.24964
-0.27219,0.34957
-0.25037,0.22222
-0.24991,0.2168
-0.21968,0.18397
-0.21757,0.41395
-0.18398,0.15114
-0.17658,0.45094
-0.14553,0.11694
-0.13832,0.48656
-0.10709,0.08959
-0.10005,0.51807
-0.07138,0.05402
-0.06452,0.54958
-0.02627,0.5893
-0.01649,0.01847
0.01476,0.61124
0.04753,0.65096
0.08579,0.68657
0.12406,0.71946
0.16231,0.75507
0.19236,0.78932
0.23338,0.81809
0.26067,0.85507
0.29895,0.88248
0.34818,0.914
0.50698,0.95243
0.69047,0.97857
0.80551,0.98823
